frame,Hips_rx,Hips_ry,Hips_rz,Spine_rx,Spine_ry,Spine_rz,LeftUpperArm_rx,LeftUpperArm_ry,LeftUpperArm_rz,LeftLowerArm_rx,LeftLowerArm_ry,LeftLowerArm_rz,LeftHand_rx,LeftHand_ry,LeftHand_rz,RightUpperArm_rx,RightUpperArm_ry,RightUpperArm_rz,RightLowerArm_rx,RightLowerArm_ry,RightLowerArm_rz,RightHand_rx,RightHand_ry,RightHand_rz,LeftUpperLeg_rx,LeftUpperLeg_ry,LeftUpperLeg_rz,LeftLowerLeg_rx,LeftLowerLeg_ry,LeftLowerLeg_rz,LeftFootAnkle_rx,LeftFootAnkle_ry,LeftFootAnkle_rz,LeftToes_rx,LeftToes_ry,LeftToes_rz,RightUpperLeg_rx,RightUpperLeg_ry,RightUpperLeg_rz,RightLowerLeg_rx,RightLowerLeg_ry,RightLowerLeg_rz,RightFootAnkle_rx,RightFootAnkle_ry,RightFootAnkle_rz,RightToes_rx,RightToes_ry,RightToes_rz,Head_rx,Head_ry,Head_rz,LeftHandPinkyRoot_rx,LeftHandPinkyRoot_ry,LeftHandPinkyRoot_rz,LeftHandIndexRoot_rx,LeftHandIndexRoot_ry,LeftHandIndexRoot_rz,LeftHandThumbRoot_rx,LeftHandThumbRoot_ry,LeftHandThumbRoot_rz,RightHandPinkyRoot_rx,RightHandPinkyRoot_ry,RightHandPinkyRoot_rz,RightHandIndexRoot_rx,RightHandIndexRoot_ry,RightHandIndexRoot_rz,RightHandThumbRoot_rx,RightHandThumbRoot_ry,RightHandThumbRoot_rz,LeftHeel_rx,LeftHeel_ry,LeftHeel_rz,RightHeel_rx,RightHeel_ry,RightHeel_rz,LeftEye_rx,LeftEye_ry,LeftEye_rz,RightEye_rx,RightEye_ry,RightEye_rz,Nose_rx,Nose_ry,Nose_rz
21,,,,,,,156.36822933786496,176.4522511828254,13.520754120667346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,156.86408276343494,176.3142286492166,13.805860873975941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,157.33916743217364,176.29705706001005,14.08254221084041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,157.73156390741073,176.83785868440617,14.169625347931616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,157.46235803678286,177.21054853382833,14.070667731197213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,157.22680274277033,177.35164157793514,14.340111125528484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,156.97707635842963,177.97080169587494,14.424661468782007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,157.14317595972128,178.88468978411242,14.182023261033383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,157.30131423472153,179.56676821926771,13.849554802935682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,157.2395268782056,0.11736765194225014,13.648237198215467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,157.06000284723,0.4451173592142653,13.567183783650306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,156.74731555897569,0.7128812217963869,13.560677805162024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,156.46596195007064,0.9220906260111366,13.519342812653367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,156.33007861698064,1.0586955513949952,13.614073423538759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,156.4779767295046,1.2576213564050247,13.948363363058498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,156.681338798583,1.3086938226657017,14.167682889929408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,156.41929522216162,1.271565664728679,14.419108063268563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,155.97521057214863,1.1720683919213952,14.663122100589273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,155.5526626010339,0.9966067300563319,14.764004895055367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,155.43931877106732,0.9059645102365559,14.797078044132657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,155.59559070079456,0.8490599627128015,14.787776912048539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,155.6785500149018,0.8700587465823605,14.747233842355989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,155.77808933140437,0.932875071687705,14.68897833741261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,155.85043532284558,1.0297026538953558,14.654596156856824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,155.89631067218107,1.1314536642143183,14.643643743911877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,155.92438224459875,1.197092416789177,14.708918377993298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,155.75459020517664,1.1514530457360705,14.813160759004436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,155.69734978803638,1.0820796554051335,14.894171583314206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,155.69609935821103,0.9770850348741363,14.901775642253641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,155.80024276321004,0.8491671187942638,14.835527663269556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,155.90964242777167,0.7671249567729121,14.788184546855097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,155.97224182834478,0.7280742201881447,14.783205899825049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,155.9922225327074,0.6894982602840333,14.794065983518001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,155.99829949633067,0.6412146651532449,14.786775533262324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,155.95061863630275,0.6178056473631888,14.794925852078084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,155.9287514490826,0.5944059851738123,14.77801347198989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,155.91853705154662,0.5852677648354155,14.762271128931184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,155.92348945603067,0.5747895942056731,14.72782226839397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,155.8693794224471,0.5549067448204896,14.698014667775558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,155.7338220458798,0.5295769233525499,14.67220090429775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,155.6773035914802,0.510027493306269,14.630602882418733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,155.59714703352898,0.5111060852447336,14.585949988169125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,155.60878889663474,0.5282032622483477,14.539197891334792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,155.61302084576766,0.5654264151998322,14.469623735240557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
