,HipsX,HipsY,HipsZ,HipsXrot,HipsYrot,HipsZrot,SpineXrot,SpineYrot,SpineZrot,LeftUpperArmXrot,LeftUpperArmYrot,LeftUpperArmZrot,LeftLowerArmXrot,LeftLowerArmYrot,LeftLowerArmZrot,RightUpperArmXrot,RightUpperArmYrot,RightUpperArmZrot,RightLowerArmXrot,RightLowerArmYrot,RightLowerArmZrot,LeftUpperLegXrot,LeftUpperLegYrot,LeftUpperLegZrot,RightUpperLegXrot,RightUpperLegYrot,RightUpperLegZrot
19,-0.0015032695,-0.0017450652,0.0008926937,138.82477,-70.587204,131.81836,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-140.33693,-3.1305733,3.7684212,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
20,-0.0015013409,-0.0017436689,0.0008996898,139.242,-70.450424,131.43565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-141.3831,-2.9040594,3.6292348,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
21,-0.0014995806,-0.0017436566,0.0009070244,139.64008,-70.316925,131.06952,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-141.72896,-2.608744,3.3018749,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
22,-0.001498706,-0.0017442611,0.00091123424,139.88232,-70.24029,130.85231,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-141.3973,-2.3993177,3.0016549,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
23,-0.0014979205,-0.001742804,0.00091220596,140.16139,-70.17507,130.59598,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-139.48027,-2.359063,2.7572727,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
24,-0.0014967113,-0.0017431038,0.00091073045,140.59415,-70.1326,130.1805,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-135.74342,-2.8256357,2.896285,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
25,-0.0014957838,-0.0017471707,0.0009055527,140.6666,-70.20347,130.10858,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-136.29538,-3.0136733,3.148493,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
26,-0.0014962796,-0.001756235,0.0008918991,140.3345,-70.51206,130.40535,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-131.7426,-3.3375473,2.9737434,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
27,-0.0014966959,-0.0017600403,0.0008845896,140.67563,-70.75681,130.02585,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-130.67331,-3.8341603,3.2887166,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
28,-0.0014983503,-0.0017616405,0.0008811368,140.92133,-70.879875,129.76195,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-130.16446,-4.5477657,3.8285894,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
29,-0.001499327,-0.0017634854,0.0008779235,140.94737,-70.982475,129.72342,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-130.56973,-4.977425,4.24845,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
