Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.093,-0.263,-0.005,-12.174,-1.268,10.819,-1.775,0.847,-13.588,-1.525,1.245,-13.611,30.235,48.608,7.508,-53.069,-60.531,35.175,118.685,-51.219,113.099,-138.161,15.542,158.240,-87.160,-1.918,13.258,-2.346,19.270,7.076,-74.906,-24.759,-28.373,-104.951,-71.774,-22.794,-139.243,-45.401,180.000,-139.031,47.074,180.000,103.926,-77.855,174.526,-151.583,-18.931,180.000,-104.758,5.648,180.000
-0.095,-0.262,-0.004,-12.085,-1.392,10.910,-2.044,0.947,-13.578,-1.762,1.407,-13.607,30.133,48.355,7.354,-51.394,-60.739,35.577,117.707,-51.023,112.209,-138.438,15.033,158.455,-88.145,5.723,13.306,-1.274,10.557,6.923,-75.138,-23.642,-27.170,-104.616,-71.730,-22.510,-139.486,-43.873,180.000,-139.582,47.304,180.000,106.268,-76.815,176.612,-151.601,-18.950,180.000,-104.346,9.128,180.000
-0.096,-0.260,-0.003,-12.034,-1.210,11.037,-2.037,1.121,-13.420,-1.718,1.572,-13.457,29.420,47.564,8.359,-48.097,-61.633,37.171,113.202,-50.632,108.334,-137.745,13.403,159.330,-85.152,-1.546,12.944,-2.782,19.014,8.482,-76.116,-20.377,-27.072,-105.099,-71.516,-23.194,-140.736,-44.007,180.000,-137.927,45.854,180.000,107.616,-75.544,178.028,-153.213,-19.720,180.000,-106.096,11.791,180.000
-0.100,-0.252,0.001,-11.589,-1.261,11.172,-2.266,1.278,-13.432,-1.902,1.781,-13.479,28.872,47.144,8.996,-49.448,-61.671,36.034,115.726,-52.048,110.803,-137.041,13.041,159.335,-90.625,32.187,12.744,1.217,-14.878,4.730,-80.661,-24.445,-26.188,-105.089,-71.554,-23.007,-140.802,-44.059,180.000,-138.195,46.323,180.000,108.316,-75.533,179.278,-153.685,-19.431,180.000,-106.572,12.294,180.000
-0.102,-0.244,0.003,-11.262,-1.296,11.220,-2.510,1.403,-13.511,-2.107,1.967,-13.567,28.138,46.913,9.643,-45.657,-64.849,38.753,113.045,-55.073,109.228,-135.499,14.687,158.351,-103.892,64.960,23.078,5.023,-49.991,6.546,-82.624,-26.283,-27.222,-105.358,-71.800,-23.306,-141.620,-44.017,180.000,-139.617,47.525,180.000,108.701,-75.603,-179.901,-154.253,-19.100,180.000,-106.840,11.600,180.000
-0.105,-0.242,0.004,-10.853,-1.265,11.339,-2.736,1.587,-13.583,-2.278,2.207,-13.653,26.965,46.319,10.808,-46.046,-64.134,36.952,108.791,-51.767,104.963,-132.893,12.338,159.148,-91.816,44.843,14.033,2.077,-28.261,4.379,-86.860,-21.883,-25.894,-104.964,-71.405,-22.706,-141.760,-43.850,180.000,-139.409,47.086,180.000,109.677,-75.515,-178.618,-154.465,-19.501,180.000,-106.950,12.598,180.000
-0.107,-0.239,0.007,-10.442,-1.058,11.465,-2.909,1.700,-13.300,-2.430,2.350,-13.380,24.693,45.375,12.123,-48.228,-62.770,33.539,101.829,-48.743,98.947,-127.394,12.590,157.188,-86.136,25.393,11.162,0.668,-6.788,5.637,-93.587,-17.083,-25.419,-105.050,-71.655,-22.845,-141.512,-50.019,180.000,-140.004,48.795,180.000,109.857,-76.524,-177.958,-154.421,-18.908,180.000,-105.580,10.156,180.000
-0.107,-0.234,0.010,-10.124,-1.061,11.325,-3.148,1.751,-13.172,-2.655,2.453,-13.260,23.656,44.928,12.384,-48.624,-62.251,32.740,106.094,-48.350,102.167,-129.557,10.862,158.859,-86.745,31.687,11.777,1.404,-12.761,6.331,-92.634,-16.683,-25.441,-104.508,-71.099,-22.271,-142.291,-51.129,180.000,-138.701,48.410,180.000,109.465,-78.168,-178.013,-154.092,-18.885,180.000,-107.267,3.252,180.000
-0.109,-0.231,0.010,-9.547,-1.239,11.252,-3.039,1.772,-12.994,-2.551,2.441,-13.081,21.247,43.853,13.326,-47.800,-61.822,33.441,108.392,-45.974,103.446,-132.313,4.334,164.150,-90.630,45.102,14.299,5.506,-25.786,12.494,-95.179,-8.329,-20.992,-104.735,-70.555,-21.910,-142.265,-50.119,180.000,-137.942,47.006,180.000,109.329,-80.339,-177.232,-153.449,-17.277,180.000,-107.000,1.505,180.000
-0.111,-0.228,0.009,-9.087,-1.379,11.264,-3.324,1.866,-12.833,-2.813,2.596,-12.933,20.030,43.084,14.579,-45.339,-61.582,34.175,104.806,-46.326,100.823,-134.107,6.025,164.033,-90.167,47.329,14.705,6.204,-26.236,13.815,-94.173,-8.298,-20.921,-104.238,-70.183,-21.066,-142.930,-48.426,180.000,-138.573,47.145,180.000,107.485,-80.969,-178.549,-153.394,-16.735,180.000,-108.007,2.242,180.000
-0.111,-0.228,0.009,-8.851,-1.332,11.320,-3.504,1.880,-12.694,-2.991,2.646,-12.798,19.600,42.450,14.770,-46.327,-61.118,33.075,104.530,-47.382,100.798,-134.269,7.372,163.341,-91.628,52.499,16.367,9.513,-28.617,19.284,-96.848,-5.474,-22.334,-103.963,-69.743,-20.837,-142.838,-47.897,180.000,-138.853,47.944,180.000,110.184,-81.565,-175.728,-152.556,-16.025,180.000,-108.304,1.206,180.000
-0.112,-0.228,0.008,-8.517,-1.461,11.332,-3.703,1.931,-12.698,-3.172,2.745,-12.811,19.777,41.755,14.710,-45.740,-61.209,32.894,103.706,-47.181,100.142,-135.076,6.995,164.119,-89.058,47.735,14.943,7.613,-21.419,20.103,-95.662,-2.114,-23.696,-103.068,-69.098,-19.994,-143.115,-48.438,180.000,-138.695,47.726,180.000,112.233,-82.343,-173.558,-151.876,-16.029,180.000,-108.043,-1.374,180.000
-0.114,-0.226,0.006,-7.936,-1.776,11.343,-4.094,1.962,-12.544,-3.552,2.859,-12.668,19.705,41.170,14.540,-49.620,-60.506,29.724,114.339,-50.316,109.193,-140.726,7.797,164.219,-95.775,63.345,21.013,13.236,-36.536,21.558,-91.112,-10.754,-26.475,-105.079,-69.835,-21.725,-145.462,-44.978,180.000,-136.143,45.427,180.000,117.821,-82.592,-167.108,-151.490,-16.491,180.000,-108.393,-6.930,180.000
-0.115,-0.229,0.010,-7.458,-0.608,11.709,-4.146,1.900,-12.000,-3.642,2.776,-12.120,18.752,40.908,15.234,-48.886,-61.941,29.713,111.070,-52.514,106.999,-140.131,7.673,164.876,-92.839,68.878,18.742,15.342,-39.053,23.532,-93.731,-10.270,-26.648,-108.740,-69.654,-25.348,-144.884,-45.591,180.000,-136.448,45.925,180.000,127.561,-81.001,-156.413,-152.293,-17.410,180.000,-104.752,-4.252,180.000
-0.113,-0.233,0.006,-6.943,-1.440,12.387,-4.476,1.984,-11.942,-3.947,2.933,-12.076,18.370,41.376,15.319,-47.098,-61.282,30.196,110.091,-51.235,105.918,-137.012,4.749,164.793,-90.466,59.325,18.383,10.189,-28.298,20.763,-93.895,-2.978,-29.145,-108.393,-70.531,-24.663,-142.688,-46.713,180.000,-135.091,43.536,180.000,133.491,-82.271,-150.180,-150.337,-16.563,180.000,-101.570,-2.560,180.000
-0.116,-0.235,-0.003,-6.136,-2.952,13.103,-5.057,1.999,-11.891,-4.511,3.076,-12.038,17.855,42.443,15.836,-46.992,-60.004,29.181,105.836,-49.482,102.168,-133.807,5.948,162.383,-87.619,44.444,18.636,5.309,-13.069,22.338,-92.704,6.313,-30.738,-104.118,-69.981,-19.873,-142.155,-44.385,180.000,-134.679,42.043,180.000,132.275,-84.180,-151.311,-149.767,-15.196,180.000,-101.034,2.615,180.000
-0.118,-0.236,-0.018,-5.021,-5.405,14.020,-5.695,1.924,-11.424,-5.175,3.102,-11.575,18.830,45.237,13.249,-39.061,-60.196,36.200,99.273,-51.488,97.280,-131.567,7.109,157.882,-89.399,36.670,24.497,2.959,-6.197,25.587,-88.538,14.607,-36.453,-98.496,-69.986,-13.025,-139.731,-44.020,180.000,-133.723,39.278,180.000,109.580,-87.277,-174.123,-148.947,-16.435,180.000,-103.349,-0.592,180.000
-0.119,-0.234,-0.012,-4.589,-5.412,14.889,-5.727,1.991,-11.681,-5.177,3.202,-11.839,19.655,44.835,10.964,-33.493,-61.221,41.813,95.403,-59.010,94.636,-128.465,10.323,151.659,-124.690,67.797,53.889,18.970,-49.662,24.273,-94.815,-4.279,-33.021,-99.325,-69.879,-13.654,-137.052,-36.524,180.000,-130.714,34.222,180.000,106.410,-87.775,-177.472,-147.679,-17.243,180.000,-96.696,-0.146,180.000
-0.115,-0.234,-0.009,-4.531,-4.683,15.081,-5.586,1.900,-10.927,-5.099,3.012,-11.075,16.676,48.118,13.158,-38.668,-59.448,36.613,99.962,-60.960,98.730,-128.397,13.209,150.582,-160.392,71.063,88.545,30.926,-59.306,34.866,-95.624,-7.935,-34.095,-101.242,-69.967,-15.455,-137.015,-36.013,180.000,-129.750,32.996,180.000,106.356,-89.466,-177.327,-146.634,-17.483,180.000,-95.569,-1.463,180.000
-0.110,-0.233,0.002,-5.104,-1.739,15.068,-5.151,2.000,-11.224,-4.638,3.048,-11.374,14.742,46.987,15.306,-21.261,-63.578,54.534,61.372,-64.112,63.845,-124.034,27.277,142.676,-166.509,74.027,94.545,30.239,-64.504,32.855,-92.473,-21.209,-33.064,-109.048,-69.163,-23.584,-137.735,-36.139,180.000,-130.037,32.940,180.000,159.583,-87.208,-123.932,-148.098,-19.195,180.000,-96.721,-4.033,180.000
-0.108,-0.231,0.010,-5.370,-0.183,15.173,-4.837,2.058,-11.547,-4.303,3.065,-11.696,14.005,46.519,16.053,-9.171,-67.062,66.726,47.605,-63.087,50.851,-118.895,28.355,139.285,157.994,72.585,128.154,56.324,-72.432,57.574,-96.907,-25.051,-34.218,-113.105,-68.971,-27.848,-137.940,-36.003,180.000,-129.732,32.897,180.000,167.100,-86.293,-116.287,-148.725,-19.485,180.000,-97.172,-4.730,180.000
-0.104,-0.231,0.002,-4.935,-1.554,15.691,-5.383,1.931,-10.849,-4.899,2.996,-10.997,14.831,48.257,15.556,-26.418,-61.648,50.080,68.152,-67.152,69.722,-122.054,20.059,145.839,-154.796,74.477,83.205,26.736,-57.246,30.920,-96.693,-14.096,-33.837,-109.322,-68.837,-23.600,-138.052,-35.744,180.000,-129.109,32.660,180.000,169.813,-87.743,-113.607,-148.682,-19.679,180.000,-96.457,-4.549,180.000
-0.104,-0.231,-0.001,-4.754,-2.103,15.718,-5.498,1.949,-11.143,-4.992,3.063,-11.294,15.220,47.759,15.483,-30.276,-60.564,46.657,79.710,-67.838,80.456,-127.108,21.134,148.960,-151.571,74.495,79.807,27.888,-59.139,31.653,-91.298,-17.214,-30.030,-108.047,-68.958,-22.201,-139.443,-34.480,180.000,-127.874,32.423,180.000,150.753,-87.853,-132.922,-148.851,-19.735,180.000,-97.888,-3.257,180.000
-0.103,-0.230,-0.000,-4.807,-1.867,15.734,-5.353,1.953,-11.486,-4.831,3.063,-11.635,16.749,48.020,14.061,-28.133,-61.633,49.607,78.576,-68.861,79.326,-127.642,21.275,149.716,-173.741,75.597,100.973,38.314,-65.721,40.919,-90.980,-20.088,-27.556,-108.603,-68.878,-22.775,-139.954,-33.828,180.000,-127.616,32.590,180.000,146.326,-87.361,-137.424,-149.038,-20.110,180.000,-98.816,-3.267,180.000
-0.103,-0.230,0.005,-5.154,-0.600,15.736,-5.029,1.965,-12.098,-4.482,3.049,-12.241,17.139,48.386,13.689,-27.099,-62.080,51.283,79.772,-68.429,80.474,-126.310,20.064,149.499,-158.121,76.629,85.893,31.596,-63.547,34.491,-92.868,-19.418,-28.369,-111.706,-68.390,-26.100,-140.551,-32.746,180.000,-126.370,32.282,180.000,151.036,-86.367,-132.645,-149.802,-21.411,180.000,-99.283,-4.557,180.000
-0.103,-0.230,0.006,-5.178,-0.462,15.788,-4.734,1.847,-12.189,-4.218,2.867,-12.315,17.902,48.279,13.331,-23.748,-64.247,54.514,80.154,-68.464,80.830,-128.867,20.841,150.229,170.479,76.771,115.903,45.562,-69.748,47.387,-91.315,-23.411,-28.649,-112.654,-68.427,-27.039,-141.483,-31.993,180.000,-126.625,33.044,180.000,147.258,-86.056,-136.432,-149.990,-21.806,180.000,-99.575,-4.156,180.000
