Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.107,-0.182,0.050,-2.127,6.814,21.814,-3.544,1.934,-11.921,-3.052,2.672,-12.031,5.927,34.777,17.635,132.867,-49.234,-168.222,37.997,-17.620,68.819,-103.941,41.419,141.955,77.134,52.194,-162.071,55.086,-50.685,61.631,-122.848,6.215,-74.728,-144.980,-65.788,-56.845,-142.249,-45.928,180.000,-140.932,48.368,180.000,166.158,-73.247,-110.879,-145.863,-16.229,180.000,-100.518,33.081,180.000
-0.108,-0.185,0.042,-1.083,4.478,21.912,-4.320,1.740,-10.930,-3.896,2.581,-11.041,5.616,37.120,18.432,134.294,-46.973,-165.694,39.530,-17.998,69.472,-102.286,43.781,143.354,83.577,45.877,-168.526,86.642,-53.842,87.287,-125.836,-0.924,-65.058,-141.019,-67.680,-52.585,-141.288,-45.260,180.000,-140.426,47.806,180.000,159.974,-73.829,-117.920,-144.174,-18.010,180.000,-100.551,34.549,180.000
-0.106,-0.186,0.033,-0.078,1.990,21.872,-4.822,1.674,-11.290,-4.384,2.642,-11.402,7.318,39.110,15.634,128.876,-48.540,-173.379,38.815,-17.785,69.209,-104.819,44.195,146.255,83.831,45.458,-169.993,111.966,-46.483,106.304,-128.608,-16.929,-52.480,-139.756,-69.999,-50.592,-145.977,-39.656,180.000,-132.491,40.577,180.000,152.728,-76.058,-125.386,-144.597,-18.539,180.000,-97.622,32.697,180.000
-0.102,-0.181,0.028,0.684,0.218,21.740,-4.997,1.625,-11.639,-4.550,2.654,-11.749,6.769,41.627,16.179,105.672,-66.323,160.333,38.515,-22.029,64.767,-102.484,35.316,146.730,79.749,48.131,-167.967,101.899,-37.885,97.373,-147.812,-28.797,-48.056,-136.441,-71.286,-46.860,-147.671,-34.797,180.000,-127.467,36.824,180.000,123.239,-77.301,-156.889,-149.635,-23.725,180.000,-94.275,26.581,180.000
-0.103,-0.181,0.030,1.017,-0.609,21.552,-5.028,1.613,-11.991,-4.567,2.676,-12.099,7.934,42.064,15.233,97.402,-68.402,151.707,37.039,-25.481,60.312,-120.984,37.034,151.395,79.628,41.582,-167.187,178.554,-0.661,114.548,-30.719,-47.218,80.886,-129.102,-70.547,-39.129,-148.044,-39.038,180.000,-130.184,39.319,180.000,115.422,-79.807,-164.552,-151.123,-21.196,180.000,-96.594,31.687,180.000
-0.103,-0.181,0.034,1.043,-0.676,21.365,-4.897,1.588,-11.962,-4.446,2.619,-12.067,8.374,42.700,14.626,95.789,-66.334,150.214,35.051,-29.114,55.257,-128.423,34.816,156.827,77.469,35.778,-161.735,-176.259,1.236,108.258,-15.779,-35.409,94.507,-125.972,-69.391,-35.108,-149.271,-40.972,180.000,-131.716,41.127,180.000,117.825,-82.939,-161.446,-151.162,-16.627,180.000,-98.619,35.399,180.000
-0.104,-0.181,0.040,1.309,-1.359,21.168,-4.927,1.556,-11.965,-4.482,2.592,-12.066,8.464,43.879,14.789,96.748,-62.772,150.708,33.223,-28.908,53.569,-125.882,33.834,156.636,78.303,32.935,-161.186,-175.918,1.185,106.164,-9.628,-37.312,97.477,-123.467,-69.593,-31.804,-149.054,-35.162,180.000,-132.391,39.796,180.000,112.894,-83.507,-166.206,-151.373,-15.928,180.000,-98.884,35.164,180.000
-0.107,-0.181,0.050,1.199,-0.892,20.799,-4.799,1.540,-11.825,-4.367,2.538,-11.923,8.160,43.744,15.005,98.623,-65.731,152.121,40.103,-30.138,59.197,-123.835,32.065,158.929,77.437,34.087,-160.691,-171.977,2.194,105.193,-7.823,-38.296,102.470,-127.108,-69.049,-35.266,-149.800,-31.200,180.000,-131.090,38.907,180.000,114.819,-83.681,-164.341,-151.781,-17.255,180.000,-97.749,28.064,180.000
-0.108,-0.181,0.050,1.418,-1.449,20.562,-5.163,1.673,-12.178,-4.676,2.782,-12.293,8.302,44.004,14.853,77.642,-72.330,130.495,54.605,-32.024,69.355,-121.095,21.875,160.483,75.663,38.857,-161.054,-174.924,1.839,109.862,-13.060,-48.326,101.875,-129.926,-69.417,-37.681,-150.475,-31.651,180.000,-133.454,41.066,180.000,128.535,-83.740,-149.569,-151.359,-16.651,180.000,-99.299,27.585,180.000
-0.114,-0.180,0.042,1.676,-2.055,20.600,-5.694,1.775,-12.193,-5.168,3.011,-12.326,7.748,44.085,16.251,100.958,-63.207,153.248,62.962,-28.003,76.525,-119.076,10.918,167.049,77.999,56.229,-167.742,163.175,-10.022,119.920,-97.598,-51.768,21.118,-130.215,-70.209,-38.009,-150.374,-29.918,180.000,-135.689,42.025,180.000,125.728,-83.678,-152.226,-151.663,-17.659,180.000,-101.759,27.861,180.000
-0.115,-0.180,0.038,1.622,-1.888,20.696,-6.419,1.914,-11.883,-5.858,3.295,-12.041,9.283,42.708,15.727,127.369,-35.255,-176.461,58.719,-16.395,80.269,-122.650,31.775,168.513,82.846,51.147,-169.527,133.613,-42.194,122.615,-116.336,-9.833,-42.607,-131.742,-70.870,-40.148,-146.998,-35.375,180.000,-139.572,44.619,180.000,141.758,-81.913,-135.843,-149.125,-18.173,180.000,-99.991,24.298,180.000
-0.119,-0.182,0.036,1.424,-1.132,20.828,-6.179,1.848,-11.447,-5.663,3.129,-11.596,8.473,41.542,16.932,131.971,-31.898,-166.037,57.380,-16.311,79.810,-123.725,39.428,166.187,87.819,43.954,-171.744,144.731,-48.052,136.442,-109.329,-2.504,-46.983,-129.562,-70.724,-38.890,-142.221,-39.908,180.000,-145.497,50.749,180.000,147.728,-79.678,-130.052,-147.168,-20.069,180.000,-100.703,21.968,180.000
-0.120,-0.183,0.039,1.182,0.154,20.876,-5.652,1.854,-11.031,-5.169,2.985,-11.175,6.602,39.938,18.454,132.568,-36.161,-165.019,49.647,-15.214,77.430,-117.945,47.301,157.378,91.154,28.753,-174.799,151.180,-41.799,140.461,-109.537,-10.661,-51.664,-134.202,-70.757,-43.828,-142.892,-34.234,180.000,-142.963,46.518,180.000,150.619,-78.254,-126.863,-146.924,-21.011,180.000,-100.920,21.550,180.000
-0.121,-0.185,0.037,1.621,-0.696,20.760,-5.703,1.865,-10.925,-5.222,2.999,-11.071,7.667,38.207,16.675,134.702,-42.730,-164.810,29.254,-10.307,72.284,-101.651,57.527,130.932,91.633,24.392,-174.392,158.924,-32.444,144.308,-101.990,-23.905,-39.996,-133.297,-71.736,-42.832,-143.170,-35.087,180.000,-141.855,45.721,180.000,147.830,-78.997,-129.666,-146.565,-20.570,180.000,-100.896,23.746,180.000
-0.125,-0.184,0.029,2.673,-3.196,20.497,-6.062,1.845,-11.736,-5.534,3.127,-11.882,7.927,39.849,16.662,124.000,-68.450,177.395,-9.036,4.594,63.268,-52.792,54.997,54.558,87.542,34.652,-171.974,167.117,-21.281,147.780,-64.379,-35.430,6.043,-135.180,-74.285,-44.066,-149.017,-34.463,180.000,-135.022,41.046,180.000,137.360,-80.967,-140.250,-146.464,-18.016,180.000,-100.931,28.721,180.000
-0.128,-0.186,0.035,2.907,-3.930,19.375,-6.093,2.005,-12.255,-5.498,3.351,-12.419,7.460,41.086,17.562,119.395,-65.311,171.935,-2.017,1.427,54.745,-68.283,62.497,73.134,83.972,36.644,-169.082,163.631,-14.112,129.694,-45.612,-41.956,32.170,-134.488,-74.117,-42.859,-147.158,-44.891,180.000,-132.757,41.122,180.000,132.701,-82.247,-145.282,-145.214,-16.237,180.000,-100.302,29.912,180.000
-0.127,-0.188,0.046,2.493,-2.335,19.251,-5.387,2.077,-12.519,-4.780,3.282,-12.679,8.670,42.137,15.403,108.324,-68.198,162.016,27.323,-21.709,54.399,-130.590,49.685,146.354,79.776,28.151,-156.874,175.354,-1.977,112.997,-10.587,-39.071,85.137,-127.982,-69.414,-35.270,-144.700,-42.942,180.000,-129.322,38.358,180.000,164.857,-84.933,-111.541,-145.360,-12.693,180.000,-96.861,23.555,180.000
-0.129,-0.189,0.053,2.467,-2.225,19.109,-4.803,1.956,-12.416,-4.247,3.011,-12.553,8.729,42.134,15.630,79.430,-72.693,135.268,55.814,-41.261,65.870,-147.914,20.570,167.476,78.472,29.565,-155.893,-171.332,1.337,98.704,-4.779,-21.248,107.704,-123.859,-67.132,-30.497,-144.588,-40.137,180.000,-130.004,38.313,180.000,-145.697,-85.681,-60.589,-144.803,-7.462,180.000,-97.734,24.685,180.000
-0.129,-0.191,0.058,2.415,-2.162,19.035,-4.563,1.944,-12.476,-4.014,2.946,-12.607,9.347,42.333,15.954,74.385,-71.162,131.168,51.417,-41.881,61.960,-147.959,20.516,166.897,77.912,31.114,-154.755,-166.776,1.176,94.993,-4.665,-15.880,114.373,-121.972,-65.889,-28.417,-144.463,-39.859,180.000,-129.489,38.638,180.000,-125.021,-84.822,-38.417,-144.982,-7.157,180.000,-95.597,20.163,180.000
-0.127,-0.182,0.092,-0.651,6.601,19.166,-2.495,2.372,-13.290,-1.867,2.922,-13.398,7.644,36.396,19.435,85.343,-71.074,144.527,4.164,-5.306,38.216,-106.886,56.972,116.208,74.001,28.299,-145.234,-156.792,3.801,98.788,-2.793,-3.550,121.701,-134.448,-61.455,-42.910,-139.982,-44.931,180.000,-134.641,39.779,180.000,-151.112,-76.530,-63.022,-145.042,-6.658,180.000,-95.550,18.703,180.000
