Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
-0.086,-0.109,0.185,-3.402,4.102,-3.969,-6.291,0.562,-7.561,-6.160,1.403,-7.579,-25.794,2.635,-119.681,-60.112,-68.068,6.960,3.910,-46.052,5.424,-35.063,31.273,27.572,92.420,4.289,-130.128,-90.954,37.897,90.586,79.159,21.408,-0.462,-102.792,-87.396,-17.048,-154.058,-36.332,180.000,-105.923,28.881,180.000,69.518,-68.958,152.254,-165.808,-55.739,180.000,-88.283,-50.059,180.000
-0.084,-0.111,0.189,-3.323,3.848,-3.831,-6.696,0.563,-7.175,-6.570,1.415,-7.194,-25.328,3.860,-120.801,-62.056,-57.078,3.979,5.059,-55.583,6.125,-34.453,30.228,27.936,95.092,3.594,-124.793,-98.780,39.830,95.650,80.146,19.714,7.813,-108.084,-87.214,-22.170,-152.852,-38.602,180.000,-105.009,28.230,180.000,39.082,-79.166,125.005,-163.630,-44.082,180.000,-88.908,-52.648,180.000
-0.084,-0.111,0.190,-3.277,3.534,-3.793,-6.979,0.550,-6.784,-6.862,1.392,-6.803,-24.616,5.004,-122.173,-59.581,-61.356,4.553,4.231,-49.055,5.594,-33.472,28.987,27.704,95.646,1.998,-125.175,-99.454,37.328,95.766,82.919,19.317,8.248,-114.068,-86.923,-27.966,-151.076,-38.029,180.000,-105.532,27.989,180.000,-10.467,-82.475,77.659,-160.244,-37.771,180.000,-89.353,-55.619,180.000
-0.086,-0.115,0.201,-3.057,3.224,-2.850,-6.992,0.494,-6.526,-6.888,1.304,-6.539,-24.752,6.488,-123.516,-56.232,-74.781,5.566,3.244,-35.756,5.540,-33.754,29.425,30.048,95.838,1.336,-121.868,-94.432,39.973,92.851,84.265,20.179,5.369,-104.482,-85.746,-17.965,-150.779,-37.885,180.000,-105.999,28.592,180.000,-21.001,-82.294,67.879,-159.083,-36.649,180.000,-89.758,-56.597,180.000
-0.091,-0.121,0.205,-2.865,2.696,-2.324,-6.846,0.454,-6.517,-6.748,1.243,-6.526,-24.719,7.351,-124.142,120.748,-38.207,-179.876,-6.691,39.224,10.509,-31.493,26.016,26.165,94.006,0.465,-123.691,-94.805,38.139,92.972,77.710,27.064,4.511,-108.614,-84.961,-21.788,-149.365,-36.341,180.000,-106.734,29.404,180.000,-10.107,-83.583,79.005,-158.191,-33.660,180.000,-93.051,-56.711,180.000
-0.105,-0.129,0.209,-2.764,2.015,0.580,-6.680,0.449,-6.840,-6.577,1.256,-6.848,-25.445,9.187,-124.493,125.194,-32.095,-176.366,-13.849,47.388,18.520,-32.193,23.474,26.103,92.697,-1.146,-126.907,-96.289,37.960,93.878,66.868,29.378,6.248,-100.456,-81.969,-13.363,-149.091,-32.112,180.000,-106.965,30.402,180.000,28.668,-84.463,116.818,-157.816,-32.052,180.000,-92.063,-48.372,180.000
-0.114,-0.136,0.207,-2.617,1.946,1.122,-6.382,0.429,-7.350,-6.274,1.253,-7.353,-25.715,8.285,-123.316,128.119,-7.831,-167.342,177.521,-6.369,158.678,-76.879,-64.899,-64.624,91.760,-0.317,-128.556,-101.469,38.209,97.153,49.068,39.871,7.945,-101.529,-80.049,-14.377,-149.073,-25.323,180.000,-105.209,30.674,180.000,52.883,-81.682,140.572,-160.209,-33.998,180.000,-91.579,-43.598,180.000
-0.124,-0.140,0.205,-2.293,2.928,3.395,-6.064,0.356,-7.461,-5.965,1.149,-7.458,-23.103,6.429,-123.947,128.828,2.308,-152.004,159.278,-34.304,146.128,-132.190,-60.780,-123.790,94.003,-2.144,-126.255,-102.057,40.295,97.865,29.919,42.028,9.243,-103.865,-75.593,-16.484,-151.033,-18.964,180.000,-103.566,30.954,180.000,56.175,-82.297,143.958,-162.808,-35.844,180.000,-90.974,-42.240,180.000
-0.132,-0.140,0.205,-2.603,4.324,5.844,-5.858,0.367,-7.294,-5.763,1.116,-7.294,-23.437,6.330,-123.769,124.369,8.616,-150.763,74.278,-36.580,80.477,-138.958,14.778,-170.824,94.714,-3.992,-135.076,-116.095,33.716,105.209,-22.559,6.853,13.903,-106.231,-74.281,-19.665,-150.279,-21.440,180.000,-102.660,30.338,180.000,62.107,-83.849,149.151,-162.447,-36.850,180.000,-88.624,-38.916,180.000
-0.123,-0.136,0.199,-2.652,5.765,5.428,-5.130,0.380,-9.295,-5.001,1.210,-9.294,-22.261,0.475,-120.609,133.828,8.100,-135.871,113.193,-50.531,108.302,-149.823,-19.999,-158.819,88.724,4.383,-134.373,-128.819,33.956,114.199,-20.382,20.692,17.100,-110.235,-73.711,-23.906,-150.278,-23.289,180.000,-102.694,29.762,180.000,70.713,-79.574,157.213,-165.489,-39.644,180.000,-90.853,-38.932,180.000
