Hips.Xposition,Hips.Yposition,Hips.Zposition,Hips.Zrotation,Hips.Xrotation,Hips.Yrotation,Spine.Zrotation,Spine.Xrotation,Spine.Yrotation,Chest.Zrotation,Chest.Xrotation,Chest.Yrotation,Head.Zrotation,Head.Xrotation,Head.Yrotation,LeftUpperArm.Zrotation,LeftUpperArm.Xrotation,LeftUpperArm.Yrotation,LeftLowerArm.Zrotation,LeftLowerArm.Xrotation,LeftLowerArm.Yrotation,LeftHand.Zrotation,LeftHand.Xrotation,LeftHand.Yrotation,RightUpperArm.Zrotation,RightUpperArm.Xrotation,RightUpperArm.Yrotation,RightLowerArm.Zrotation,RightLowerArm.Xrotation,RightLowerArm.Yrotation,RightHand.Zrotation,RightHand.Xrotation,RightHand.Yrotation,LeftUpperLeg.Zrotation,LeftUpperLeg.Xrotation,LeftUpperLeg.Yrotation,LeftLowerLeg.Zrotation,LeftLowerLeg.Xrotation,LeftLowerLeg.Yrotation,LeftFootAnkle.Zrotation,LeftFootAnkle.Xrotation,LeftFootAnkle.Yrotation,RightUpperLeg.Zrotation,RightUpperLeg.Xrotation,RightUpperLeg.Yrotation,RightLowerLeg.Zrotation,RightLowerLeg.Xrotation,RightLowerLeg.Yrotation,RightFootAnkle.Zrotation,RightFootAnkle.Xrotation,RightFootAnkle.Yrotation
0.185,-0.236,0.072,4.012,-7.830,168.045,-1.825,-2.207,11.570,-1.335,-2.556,11.646,-11.471,-6.167,130.151,124.305,-26.684,-165.030,173.681,-5.794,132.354,16.465,-34.186,-10.556,83.670,49.989,-178.208,-54.070,15.642,78.944,-145.891,7.208,146.501,105.830,-57.352,-168.174,-163.129,40.829,180.000,-95.906,-5.140,180.000,-96.650,-28.606,-13.473,-164.737,-83.018,180.000,-81.872,22.537,180.000
0.196,-0.230,0.082,2.809,-12.395,166.900,-2.122,-1.623,9.404,-1.822,-1.971,9.463,-5.774,-6.892,132.613,122.635,-19.700,-160.722,166.508,-12.638,132.360,8.053,-38.646,-20.318,76.408,52.941,-170.679,-49.412,9.439,82.002,-134.891,-0.146,144.378,116.851,-64.473,-156.821,-156.160,34.868,180.000,-110.833,-18.614,180.000,-104.838,-40.798,-21.825,-161.265,-80.886,180.000,-97.958,35.338,180.000
0.218,-0.227,0.087,1.893,-16.125,166.321,-2.585,-1.499,8.999,-2.312,-1.911,9.062,-4.580,-10.693,133.442,118.558,-14.994,-156.399,156.103,-20.054,127.737,4.709,-43.269,-25.082,71.544,49.285,-164.584,-41.263,5.690,83.553,-130.526,-5.283,146.601,110.246,-63.581,-164.568,-152.477,13.450,180.000,-120.227,-37.362,180.000,-111.422,-52.773,-26.738,-159.351,-85.529,180.000,-120.601,47.708,180.000
0.229,-0.232,0.069,1.330,-16.660,164.650,-2.452,-1.433,9.101,-2.188,-1.826,9.159,-7.575,-13.522,133.484,112.224,-14.394,-155.060,144.371,-24.439,119.996,-0.114,-52.808,-39.047,69.127,49.376,-162.082,-26.771,1.798,86.442,-119.458,-6.978,145.909,110.834,-61.696,-164.674,-152.577,4.552,180.000,-119.664,-41.451,180.000,-112.326,-53.275,-28.617,-158.696,-76.410,180.000,-117.623,46.995,180.000
0.231,-0.242,0.054,1.478,-15.992,165.004,-2.309,-1.595,10.208,-1.983,-2.002,10.271,-11.801,-14.791,129.747,115.040,-15.812,-155.611,150.488,-16.876,117.152,-13.210,-55.128,-51.497,68.706,47.508,-162.379,-20.045,-0.797,92.183,-109.949,4.862,148.659,108.533,-55.571,-171.288,-138.745,-5.362,180.000,-113.564,-42.405,180.000,-122.857,-63.289,-37.721,-155.043,-87.327,180.000,-133.000,62.139,180.000
0.236,-0.252,0.018,-0.328,-16.476,156.666,-3.899,-1.939,11.878,-3.399,-2.754,11.996,-11.860,-16.630,121.749,91.099,3.263,-162.964,125.473,-22.911,105.505,-133.610,-34.022,-165.732,79.638,43.996,-165.565,-18.931,1.153,86.643,-49.948,58.270,77.932,101.863,-41.431,-177.565,-148.369,-3.469,180.000,-114.940,-41.791,180.000,-118.925,-69.309,-30.068,-159.100,-88.876,-180.000,-123.834,43.917,180.000
0.050,-0.276,-0.161,-7.456,-14.276,87.120,-11.338,12.956,-26.460,-1.846,18.982,-30.247,76.870,-11.941,-87.963,-42.189,-46.152,-10.549,94.840,-39.502,93.083,-94.608,10.780,165.384,-82.976,-81.077,-24.539,-162.129,21.857,139.105,-114.634,-37.836,-66.746,-88.039,41.188,3.315,-166.642,13.790,180.000,-138.301,49.152,180.000,-149.114,-70.641,-65.542,-161.023,-55.440,180.000,-112.442,22.079,180.000
-0.005,-0.285,-0.143,-10.241,-11.613,73.938,-13.491,11.063,-22.241,-5.991,18.312,-25.552,50.965,-13.565,-105.026,-35.103,-31.673,-3.665,114.687,-36.819,105.402,-100.666,-2.909,173.553,-72.215,-73.941,-21.524,-169.077,38.972,162.942,-117.641,-20.254,-45.517,-87.146,46.030,-0.640,-170.623,-3.365,180.000,-139.421,55.003,180.000,-130.383,-65.171,-47.928,-162.415,-40.595,180.000,-109.932,25.240,180.000
0.173,-0.257,-0.139,-0.945,-15.725,129.035,-8.840,-8.721,20.717,-4.326,-12.507,22.357,-2.552,-2.971,112.653,99.447,21.104,-171.848,108.760,-26.940,98.748,-103.400,-26.668,-156.333,110.376,63.727,173.035,-31.094,1.025,88.301,-55.003,22.165,75.928,96.924,42.582,-178.797,-175.271,1.527,180.000,-131.389,2.029,180.000,-100.745,-30.080,-13.981,-157.265,-36.844,180.000,-104.416,39.935,180.000
0.243,-0.245,-0.078,0.791,-11.796,148.845,-3.781,-4.158,15.892,-2.421,-5.188,16.199,-8.521,-6.645,123.820,121.909,-29.868,-164.912,169.727,-3.640,109.304,-58.974,-73.915,-112.918,91.461,51.471,-176.808,-20.474,0.473,88.734,-81.437,47.485,108.250,97.622,-12.862,-178.173,-169.923,2.073,180.000,-127.705,-48.223,180.000,-102.370,-38.600,-14.578,-157.401,-40.363,180.000,-111.049,49.651,180.000
