LShoulderPitch,LShoulderRoll
0.20951619099297128,1.1294326176146865
0.13942381160750086,1.1124073197822133
-0.02720219013808547,1.0836785928683355
-0.21139236705461928,1.061506933609536
-0.38321013656522257,1.1206019206004996
-0.5213692309139417,1.0639401936643123
-0.5683592972529651,1.0675193686148292
-0.579676186106633,1.0868948488865207
-0.6716569269220893,1.1681709707132102
-0.8061639249576537,1.3265
-0.8741705083249645,1.3265
-0.9326041504901602,1.3265
-1.0512629449053343,1.3265
-1.0808235474331824,1.3265
-1.096042806076479,1.3265
-1.1041456550613784,1.3265
-1.117427396191408,1.3265
-1.155880303517067,1.3265
-1.15385735197947,1.3265
-1.1428186051164202,1.3265
-1.0715433762014166,1.3265
-1.038301785013077,1.3265
-0.9877944392792349,1.3265
-0.9232964571199367,1.3265
-0.8949340892026755,1.3265
-0.8764082865498507,1.3265
-0.878026117148028,1.3265
-0.86122162901003,1.3265
-0.8270161933605712,1.3265
-0.8165209177021736,1.3265
-0.8240574933506087,1.3265
-0.8400742391101955,1.3265
-0.8651463595742743,1.3265
-0.8896901488108765,1.3265
-0.9292462498070626,1.3265
-0.9494288640149293,1.3265
-0.9757074899037012,1.3265
-0.9938396167226922,1.3265
-1.0091416368500923,1.3265
-1.0246260324414649,1.3265
-1.0274666228920357,1.3265
-1.0131621096143413,1.3265
-1.0019489871962672,1.3265
-0.98927484330506,1.3265
-0.9629221535577798,1.3265
-0.9382051246487718,1.3265
-0.9252295929682584,1.3265
-0.9098318760823086,1.3265
-0.8965133514177547,1.3265
-0.8965965684629714,1.3265
-0.9033120641065389,1.3265
-0.9076905347062435,1.3265
-0.9081346116498229,1.3265
-0.908265985094026,1.3265
-0.9062425499571891,1.3265
-0.9039928604678379,1.3265
-0.9012659594558192,1.3265
-0.9012533568701367,1.3265
-0.9049934230109761,1.3265
-0.9049835780456905,1.3265
-0.8881609729780663,1.3265
-0.8747284470343973,1.3265
-0.866592667961102,1.3265
-0.8500961413177487,1.3265
-0.837108636125711,1.3265
-0.8327826057877078,1.3265
-0.8260343446413154,1.3265
-0.8144429145175357,1.3265
-0.8023835544942757,1.3265
-0.803122561673863,1.3265
-0.8052481996998841,1.3265
-0.8054785128033011,1.3265
-0.808049423466746,1.3265
-0.8139705883216886,1.3265
-0.8201866865826163,1.3265
-0.8468234498242461,1.3265
-0.8757865630888678,1.3265
-0.9105787382425283,1.3265
-0.937080311071276,1.3265
-0.9425226393159812,1.3265
-0.9532695816791026,1.3265
-0.9350985748283315,1.3265
-0.865151254383058,1.3265
-0.7948081980274629,1.3265
-0.7582612540916502,1.3265
-0.7303432577169563,1.3265
-0.7351860704692224,1.3265
-0.7587758540665379,1.3265
-0.802126347023391,1.3265
-0.8301794173116986,1.3265
-0.8459840677719013,1.3265
-0.8580692237044176,1.3265
-0.7835664552561152,1.3265
-0.679268452429047,1.3265
-0.6289274951648263,1.3265
-0.63071341706197,1.3255331582019698
-0.6636460223459485,1.2429220323540218
-0.7370188158617321,1.3041154002845197
-0.8045648625694648,1.3265
-0.8425637558652065,1.3265
-0.9130701869225313,1.3265
-0.9244599459644995,1.3088042660199137
-0.9162033940578578,1.1876164886403293
-0.9305455252310443,1.188669759123405
-0.8669864697297411,1.059786392881835
-0.9183231805643515,1.016941553775321
-0.9273133482705945,0.9293769878650323
-0.8900427360371276,0.8406573599599354
-0.9191441887603141,0.54507450153195
-0.942606283237831,0.2454757397587204
-0.9048325353830418,-0.18403610495441303
-0.8437216476773189,-0.18921423149222427
-0.6399210011441405,-0.3142
-0.6778004588278824,-0.3142
-0.6607133926394982,-0.3142
-0.6555558813775911,-0.3142
-0.5678646066711325,-0.3142
-0.4952803693183339,-0.3142
-0.28851708073972143,-0.3142
-0.20764792749513952,-0.3142
-0.18779699746211914,-0.3142
-0.2153019656055401,-0.3142
-0.19903147060529072,-0.3142
-0.22681271537172298,-0.3142
-0.2559265079595561,-0.3142
-0.3375264224590874,-0.2792728052994944
-0.7481534888474902,0.2710273742513418
-0.8672512070854796,0.8742729771242003
-0.8083891875431237,0.9386653162200397
-0.8608657121597373,0.9067645187856237
-1.0244859421885173,0.6940048086693129
-0.9239351434205012,0.5244024736998125
-0.5874816465700409,0.41459229821853727
0.12606498077325354,0.24011188135938677
0.6406247829383493,0.26551289181027404
1.2577256940479329,0.4481632958020354
1.3373167375507886,0.8505730044147376
1.307946597645425,1.0916449001478155
1.2314750012845606,1.20368198650135
1.0046488237458495,1.3265
0.8068439865310334,1.3265
0.03797895471582205,1.3265
-0.47834685016700146,1.186137565506
-0.7459362420846052,1.1381479732583002
-0.8159620603840818,1.1340217559635217
-1.0135944648277404,1.305174115286816
-1.0426283245381305,1.3265
-1.0013798301385337,1.3265
-0.9005917278813083,1.3265
-0.8488359455825439,1.2386775326555455
-0.720879238535126,1.2808457381310774
-0.5625540062882831,1.2332562687784643
-0.26620442337670297,1.3089727726449913
-0.31379062229092197,1.320591231348197
-0.7933779512260405,1.308211801934729
-0.8247161198446082,1.3265
-0.852506091110518,1.3265
-0.9292386589049929,1.3265
-1.0232683677792536,1.3265
-1.0735132515836054,1.3265
-1.048654440520167,1.3265
-0.9517172547644512,1.3265
-0.7475915555276669,1.3265
-0.4615509077366163,1.2138423480487723
-0.18942812395101677,1.2541038182919255
-0.1092805541356622,1.3265
-0.1611274245965403,1.3265
-0.2244282389012447,1.3265
-0.34012962994794005,1.3265
-0.47733799986332043,1.3265
-0.7205295567493701,1.3265
-0.9666601377765258,1.3265
-1.0236232284815232,1.3048967347606193
-0.8618533438406872,0.8114697521945405
-0.9369154659314683,1.034507666445668
-0.9502669338487064,1.2017832251984173
-0.7191757151704466,0.9942222293052698
-0.1343169331733071,0.9345241323523475
0.3763806536474909,0.5063889939032429
0.6400899621503754,0.3322223389102519
0.4522174542893051,0.30306161756030137
0.40538831792074154,0.34573872306409825
-0.17254115680297694,0.5174098150525259
-0.6699150358588516,0.662322851571208
-0.8806203210113401,0.702396246792397
-1.0169672286312412,0.6820366679369
-0.9295728638971485,0.6406944275617029
-0.8449156052383114,0.593237868628301
-0.6394124319232699,0.6115756658240034
-0.47566630941075705,0.8395214257969602
-0.11385572904792071,1.2743310700282988
0.06942523591298086,1.3265
0.09758451012996301,1.3265
0.028975711999689475,1.3265
-0.14440036377863755,1.319521527552833
-0.17171530444518446,1.2939321973946463
-0.1987139339236622,1.2469264752501699
-0.31105415498657374,1.2600067909461052
-0.681720022074478,1.2073550462133
-0.8755208806547906,1.1485418680387685
-1.0752482141393638,0.9477656530053037
-1.0803776238145204,0.8889095938187792
-1.0723840203722819,0.8842763406075552
-1.1482369431002042,0.5083688889924625
-1.0697109274832841,0.08218867744944713
-0.9426327081671207,-0.0938491719894603
-0.6798339475978729,-0.3142
-0.6137802684923714,-0.3142
-0.6497565391419929,-0.3142
-0.6980562853936518,-0.3142
-0.8270077314108576,-0.3142
-1.0927681000788156,0.7161134723375095
-0.737011904409267,1.2187456905949237
-0.6099907369819854,1.146166315736036
-0.6014894460064636,1.1947808422010207
-0.6032633905162046,1.219363146313901
-0.5952304261380813,1.0625212082698487
-0.6080962559833278,1.1530824082117002
-0.7406552099241275,1.3214898197658613
-1.0357844598468675,0.9350817404881976
-1.2354353747641624,0.1453103960366826
-1.1225747155578012,0.13010868937726183
-1.0158502832938248,0.261708628091488
