frame,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
0,0.7437698841094971,0.25512024760246277,-1.9253032235155842e-07,0.723298966884613,0.24027115106582642,0.007800109684467316,0.7109296917915344,0.22450515627861023,0.007449316792190075,0.6986541748046875,0.2143142819404602,0.004329510498791933,0.6858546137809753,0.20756667852401733,0.001069441786967218,0.7367172837257385,0.21255727112293243,0.004593721125274897,0.7173842191696167,0.19582727551460266,-0.004546063952147961,0.6977138519287109,0.18987862765789032,-0.012157700955867767,0.6828001141548157,0.1897072196006775,-0.015927668660879135,0.7369753122329712,0.21343286335468292,-0.0038583495188504457,0.7183579206466675,0.19493581354618073,-0.009198049083352089,0.6989107728004456,0.18966299295425415,-0.013095099478960037,0.6833212375640869,0.18934166431427002,-0.015931976959109306,0.7328959107398987,0.21692252159118652,-0.012543867342174053,0.7143484354019165,0.19854776561260223,-0.01708865351974964,0.6963310837745667,0.19397930800914764,-0.018723713234066963,0.6823516488075256,0.19366833567619324,-0.02010303921997547,0.7237535715103149,0.22285425662994385,-0.02061292715370655,0.7061417698860168,0.2111918330192566,-0.02293805219233036,0.6929184198379517,0.20686256885528564,-0.0221822839230299,0.6818743348121643,0.20507799088954926,-0.02183317393064499
1,0.7479773163795471,0.265625536441803,-2.166169537076712e-07,0.7344797253608704,0.2538985311985016,0.005247110966593027,0.7264479398727417,0.2370537668466568,0.004502436611801386,0.718413233757019,0.22524315118789673,0.0016702975844964385,0.7080519199371338,0.21701042354106903,-0.0004810555838048458,0.7463502287864685,0.22238221764564514,0.002135790651664138,0.7254922389984131,0.20567652583122253,-0.005035317502915859,0.709842324256897,0.20399503409862518,-0.01038767583668232,0.7036704421043396,0.20645898580551147,-0.012831835076212883,0.7457352876663208,0.2237550914287567,-0.004216429311782122,0.7214754819869995,0.20733456313610077,-0.007650973275303841,0.7084798216819763,0.20738160610198975,-0.009163342416286469,0.7042516469955444,0.210234597325325,-0.010233393870294094,0.7417320013046265,0.2275034785270691,-0.0107079753652215,0.7176892757415771,0.21268415451049805,-0.012391502968966961,0.7050893306732178,0.21296758949756622,-0.009704996831715107,0.7008912563323975,0.2152981162071228,-0.00841054692864418,0.7341088056564331,0.23304618895053864,-0.0171115193516016,0.7141355276107788,0.22236108779907227,-0.017408346757292747,0.704210102558136,0.2213311344385147,-0.013940286822617054,0.6995435953140259,0.22248929738998413,-0.011315318755805492
8,0.7672914862632751,0.47568368911743164,1.8901599219134368e-07,0.7650583386421204,0.4849601089954376,-0.01472528651356697,0.7690132260322571,0.5019392371177673,-0.01831090822815895,0.7735163569450378,0.5164932012557983,-0.01990453153848648,0.7775120139122009,0.5285212397575378,-0.020262878388166428,0.7817736268043518,0.5177102088928223,-0.0046310750767588615,0.7808811664581299,0.5353958606719971,-0.01187318004667759,0.7746278643608093,0.5463064908981323,-0.019274001941084862,0.7675977945327759,0.5547124743461609,-0.024012675508856773,0.7833800315856934,0.5190819501876831,-8.873709884937853e-05,0.7812442779541016,0.5363471508026123,-0.005544621963053942,0.7749940752983093,0.5471162796020508,-0.011871503666043282,0.7672299742698669,0.5562776327133179,-0.016195612028241158,0.7832931280136108,0.5190251469612122,0.002323394874110818,0.7811351418495178,0.5348510146141052,-0.0027075347024947405,0.7752823829650879,0.5451673269271851,-0.006099096033722162,0.7683582305908203,0.5538085103034973,-0.008001799695193768,0.7827593088150024,0.5178424119949341,0.0030226169619709253,0.7816286683082581,0.5317863821983337,-0.0005792539450339973,0.7777271866798401,0.5406933426856995,-0.001780025428161025,0.7727017402648926,0.5477990508079529,-0.002115769311785698
9,0.7467628121376038,0.5000367760658264,1.1436478786208681e-07,0.7503122687339783,0.5153521299362183,0.0013939101481810212,0.7566400170326233,0.5307253003120422,0.0008590174256823957,0.7602956295013428,0.5427144765853882,-0.0013469402911141515,0.7598304748535156,0.5526437163352966,-0.0031894310377538204,0.7796208262443542,0.5380988717079163,0.0058703795075416565,0.7782158851623535,0.5543005466461182,-0.0010201458353549242,0.7698454856872559,0.5649558901786804,-0.008383897133171558,0.7598174810409546,0.5727302432060242,-0.013132179155945778,0.7798848748207092,0.5375618934631348,0.0019112705485895276,0.7777115106582642,0.5538472533226013,-0.0022333755623549223,0.7696827054023743,0.5637179017066956,-0.0070007867179811,0.7604324221611023,0.571870744228363,-0.010982641950249672,0.775906503200531,0.5368893146514893,-0.00293105561286211,0.7742882370948792,0.5522621870040894,-0.0064222551882267,0.7674337029457092,0.5613909959793091,-0.007220949046313763,0.7591024041175842,0.5680274963378906,-0.008038590662181377,0.7685670256614685,0.535765528678894,-0.008208725601434708,0.767753005027771,0.5485339760780334,-0.008711682632565498,0.7634366154670715,0.5569060444831848,-0.006682557053864002,0.7586033940315247,0.5631003379821777,-0.005434028804302216
10,0.7382522821426392,0.5265986919403076,1.19395920705756e-07,0.7450942993164062,0.5416407585144043,0.0006452557281590998,0.7472067475318909,0.5578831434249878,0.00023190511274151504,0.7423545122146606,0.5694783926010132,-0.0007841622573323548,0.7358540892601013,0.5766036510467529,-0.0008989784400910139,0.7676615118980408,0.5596609115600586,-0.0003984290233347565,0.7626340985298157,0.5765393972396851,-0.00437297485768795,0.7511494159698486,0.5840280055999756,-0.007453074678778648,0.7403694987297058,0.5870780944824219,-0.008889107033610344,0.7649257183074951,0.5562322735786438,-0.002625010209158063,0.761330246925354,0.5728203058242798,-0.0036508371122181416,0.751418948173523,0.5801870226860046,-0.0048322477377951145,0.7417300939559937,0.5841233134269714,-0.006354702636599541,0.7572500705718994,0.5526720881462097,-0.005063978489488363,0.7530627846717834,0.5676544904708862,-0.005114725790917873,0.7447789907455444,0.5745031237602234,-0.0044043343514204025,0.7365092635154724,0.5785582661628723,-0.004866286180913448,0.7458957433700562,0.5490696430206299,-0.007657437585294247,0.7413578629493713,0.5598931312561035,-0.005206265952438116,0.7369764447212219,0.5657017827033997,-0.0019997055642306805,0.7324405908584595,0.5690916180610657,-0.00025857568834908307
11,0.7223212718963623,0.5331663489341736,7.126920564815009e-08,0.7364407181739807,0.5480716824531555,-0.00017416734772268683,0.7418076395988464,0.5658161640167236,-0.005368002224713564,0.7383443117141724,0.5805122256278992,-0.011165120638906956,0.731083869934082,0.5907681584358215,-0.01615361124277115,0.7527761459350586,0.5616692900657654,-0.015231028199195862,0.7466107606887817,0.5815417766571045,-0.024691859260201454,0.7362756133079529,0.5871998071670532,-0.028825081884860992,0.7297888994216919,0.5877625942230225,-0.030695712193846703,0.742802083492279,0.556989312171936,-0.02039104327559471,0.7352233529090881,0.5764490962028503,-0.02735200524330139,0.7265068292617798,0.5808753371238708,-0.02851017937064171,0.7230195999145508,0.5805941224098206,-0.029832638800144196,0.7288246750831604,0.5529361963272095,-0.02508513070642948,0.7211242318153381,0.5708106756210327,-0.03003341518342495,0.7138744592666626,0.5747033357620239,-0.027090243995189667,0.7115023136138916,0.5744433403015137,-0.02544788457453251,0.7133351564407349,0.5495258569717407,-0.02979319728910923,0.7090802788734436,0.5630947947502136,-0.03179273381829262,0.7051523327827454,0.5679283738136292,-0.028691407293081284,0.7035353183746338,0.5694403648376465,-0.026646824553608894
12,0.7126106023788452,0.5368096828460693,1.9199559275762113e-08,0.7267494797706604,0.5489403009414673,0.0025649743620306253,0.7305072546005249,0.5638024806976318,0.00040224124677479267,0.7239435315132141,0.574663519859314,-0.0037048666272312403,0.7159056067466736,0.5822239518165588,-0.0072734542191028595,0.7348867654800415,0.5704851150512695,-0.0019343977328389883,0.7244938015937805,0.5875897407531738,-0.010453425347805023,0.7107079029083252,0.5919263362884521,-0.016228465363383293,0.7017862200737,0.5913756489753723,-0.018840281292796135,0.7247537970542908,0.5690510869026184,-0.007209251634776592,0.7154541015625,0.5847036242485046,-0.012135259807109833,0.7048406600952148,0.5864294767379761,-0.01440077181905508,0.6994578242301941,0.5840736627578735,-0.015770820900797844,0.7120893001556396,0.5666183829307556,-0.01268285233527422,0.7022498846054077,0.5804793834686279,-0.016234716400504112,0.694292426109314,0.5806452631950378,-0.013974299654364586,0.6915382146835327,0.5774117708206177,-0.011983366683125496,0.6979058384895325,0.5630470514297485,-0.01818033680319786,0.6905213594436646,0.5741212964057922,-0.018505800515413284,0.6852473616600037,0.5742378830909729,-0.014176489785313606,0.6834831833839417,0.5711132287979126,-0.010631202720105648
13,0.7002760767936707,0.5369015336036682,-9.249982468872986e-08,0.6801279783248901,0.5484785437583923,0.0013403281336650252,0.6727174520492554,0.562658965587616,0.0008333350997418165,0.6718891263008118,0.5733584761619568,-0.001601706724613905,0.6743718385696411,0.5816075801849365,-0.0027606079820543528,0.6975330114364624,0.572209358215332,0.00442061573266983,0.6899073719978333,0.5879947543144226,-0.0038995009381324053,0.6801995038986206,0.5832277536392212,-0.010312321595847607,0.6802057027816772,0.5763524174690247,-0.013072226196527481,0.7108290791511536,0.5716825127601624,0.0004008229880128056,0.7037503719329834,0.5852837562561035,-0.004399361554533243,0.6943715810775757,0.580967128276825,-0.007678373251110315,0.6944391131401062,0.5747948884963989,-0.009398500435054302,0.7206158638000488,0.569331705570221,-0.004516297485679388,0.7149742245674133,0.5822201371192932,-0.007691463455557823,0.7063853740692139,0.5785955786705017,-0.005396082531660795,0.7062593698501587,0.5731189846992493,-0.0034857983700931072,0.7270147204399109,0.5660213232040405,-0.009624375961720943,0.7217560410499573,0.5766530632972717,-0.009968502447009087,0.7143308520317078,0.5740112662315369,-0.005240939557552338,0.7132101058959961,0.5688626766204834,-0.0013810117961838841
14,0.6898233890533447,0.5366886258125305,-7.567267346075823e-08,0.7055298089981079,0.5489842295646667,0.004728951491415501,0.7090102434158325,0.5640738010406494,0.004038552287966013,0.7023188471794128,0.5747668743133545,0.0009599170298315585,0.6903550028800964,0.581301748752594,-0.0013078388292342424,0.7124770879745483,0.5728607773780823,0.005122476723045111,0.6969639658927917,0.5853322148323059,-0.001947522279806435,0.687452495098114,0.5834641456604004,-0.007227362133562565,0.6847314238548279,0.5791656970977783,-0.009782807901501656,0.7022329568862915,0.5729269981384277,-0.0007998285000212491,0.6869969367980957,0.5843308568000793,-0.003927762620151043,0.68009352684021,0.5821155309677124,-0.006064137443900108,0.6796054840087891,0.5778411030769348,-0.007594388443976641,0.689224898815155,0.571658730506897,-0.0071768141351640224,0.674903392791748,0.5816166400909424,-0.008622481487691402,0.6717594265937805,0.578949511051178,-0.006388047244399786,0.6741678714752197,0.5747502446174622,-0.005171721801161766,0.6755771636962891,0.5686928033828735,-0.013635344803333282,0.6654446125030518,0.5763469934463501,-0.012335079722106457,0.664626955986023,0.5731967091560364,-0.00805014930665493,0.6679372787475586,0.5690675377845764,-0.004969453439116478
15,0.683661699295044,0.5343815088272095,-1.4626421318553184e-07,0.6983112692832947,0.5456805229187012,0.004317175131291151,0.703090250492096,0.5590677261352539,0.004962916020303965,0.7017853260040283,0.5691093802452087,0.0032964691054075956,0.6978521943092346,0.5763587355613708,0.0025272639468312263,0.6969810724258423,0.5692076086997986,0.007800471503287554,0.6893705129623413,0.582451343536377,0.0018936169799417257,0.6842638850212097,0.5792756676673889,-0.0030591092072427273,0.6845495700836182,0.5734242796897888,-0.005143747199326754,0.6861680746078491,0.5697900056838989,0.0024193606805056334,0.6790640354156494,0.5822059512138367,-0.0007876952877268195,0.6743343472480774,0.5793798565864563,-0.003585929749533534,0.6748185753822327,0.5737959146499634,-0.0049106525257229805,0.6743949055671692,0.5691768527030945,-0.003505352884531021,0.6678727269172668,0.5807409286499023,-0.00521363178268075,0.6653122901916504,0.5781410336494446,-0.0032098121009767056,0.666951060295105,0.5734937191009521,-0.0014748884132131934,0.6630055904388428,0.5666846632957458,-0.009467062540352345,0.6576216816902161,0.5773239731788635,-0.008209754712879658,0.6566305756568909,0.5749349594116211,-0.0035122374538332224,0.6583209037780762,0.5709540247917175,0.00017822725931182504
