,bpm,fps,duration,frameCount,landmarkCount,distance_sum,distance_mean,velocity_sum,velocity_mean,acceleration_sum,acceleration_mean,jerk_sum,jerk_mean,distance_mean_zscore,distance_sum_zscore,velocity_mean_zscore,velocity_sum_zscore,acceleration_mean_zscore,acceleration_sum_zscore,jerk_mean_zscore,jerk_sum_zscore,bpm_zscore,composite_score
bartender,106.69352889852131,30.0,14.9,447,14,118.92335492617649,0.019003412420290265,80.78552339898083,0.012909160019012596,68.33171328371421,0.010919097680363409,63.297512890172676,0.01011465530363897,-0.2661857707690014,-0.3679061822949218,-0.09337120596285084,-0.25319322650688,0.1276470279363807,-0.1322729429954884,0.25188298780991863,-0.06143446669847694,-0.649092867447147,-0.160436294103163
pajamaparty-tutorial,178.8320902310351,30.0,13.966666666666667,419,14,130.98251179944248,0.022329101909212834,82.65099522188018,0.014089838939972755,67.29512781318549,0.011472064066345974,59.889330842170104,0.010209568844556786,0.7887677108222739,0.03874217063369278,0.5323093939198609,-0.15757671693226696,0.5222344292204797,-0.20322461348486998,0.32682046058178904,-0.3107749070921548,1.483010464479111,0.3355898213497684
mad-at-disney-tutorial,118.80388983044196,29.97,18.151484818151484,544,14,169.85871771942723,0.02230287785181555,112.92660869322862,0.014827548410350395,90.26162261198262,0.011851578599262424,82.94169136991329,0.010890453173570546,0.7804490867460148,1.3496916235363572,0.9232459099962883,1.394228274075982,0.7930495403903149,1.3687742400483573,0.864401825399297,1.3757211911635046,-0.2911630665635251,0.95093318053251
last-christmas-tutorial,110.29142892956978,30.0,15.066666666666666,452,14,99.56986648466689,0.015734808230825993,66.53809917212124,0.010514870286365555,55.16828274109906,0.008718123062752697,50.42045568545736,0.007967834337145601,-1.3030310267992906,-1.0205276118751312,-1.3621840979532973,-0.9834583306368359,-1.442930997547173,-1.0332766835679972,-1.4431052737910075,-1.0035118173728723,-0.5427545304684392,-1.1260867077791161
